,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
0,1015,97,291,19,56,2004-01-31,81,380,31,39,210,2219,
1,990,86,278,20,52,2004-02-29,75,380,24,39,191,2135,
2,1153,91,328,20,56,2004-03-31,80,398,27,39,197,2389,
3,1203,88,307,20,54,2004-04-30,67,358,25,38,185,2345,
4,1359,100,314,17,55,2004-05-31,105,346,26,41,199,2562,
5,1330,93,309,18,53,2004-06-30,104,321,25,40,220,2513,
6,1335,84,365,15,56,2004-07-31,91,363,19,38,220,2586,
7,1388,86,434,15,56,2004-08-31,85,354,16,39,222,2695,
8,1485,83,484,14,54,2004-09-30,72,341,15,54,208,2810,
9,1602,82,516,15,55,2004-10-31,68,367,15,64,211,2995,
10,1569,84,527,22,54,2004-11-30,69,345,21,74,213,2978,
11,1679,108,569,20,55,2004-12-31,87,398,27,80,202,3225,
12,1715,111,615,19,70,2005-01-31,91,441,28,83,210,3383,
13,1583,97,583,14,85,2005-02-28,84,450,24,74,173,3167,
14,1761,105,696,15,117,2005-03-31,88,508,28,80,195,3593,
15,1790,98,677,14,132,2005-04-30,101,494,27,80,180,3593,
16,2055,103,709,13,140,2005-05-31,122,514,16,85,160,3917,
17,2206,94,704,12,139,2005-06-30,149,498,21,77,161,4061,
18,2297,98,772,12,141,2005-07-31,147,521,21,82,161,4252,
19,2304,95,744,12,143,2005-08-31,143,552,20,79,162,4254,
20,2206,105,739,12,139,2005-09-30,207,531,16,75,150,4180,
21,2376,124,813,12,167,2005-10-31,270,592,17,75,158,4604,
22,2464,128,815,8,171,2005-11-30,247,619,34,77,154,4717,
23,2670,126,882,8,197,2005-12-31,242,644,47,89,154,5059,
24,2746,127,929,9,222,2006-01-31,244,648,53,90,151,5219,
25,2708,134,799,9,216,2006-02-28,242,680,27,76,130,5021,
26,3038,141,881,9,231,2006-03-31,241,775,38,85,153,5592,
27,2947,141,849,9,229,2006-04-30,242,766,30,89,158,5460,
28,3038,146,871,11,235,2006-05-31,236,783,38,106,165,5629,
