,ALTO,APEX,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVIS_A,NAVIS_EBR,NEMO,NEMO Profiling Float,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,n/a,nProf,nmdis
0,,1056,146.0,,2194,,,25.0,,,,,,,,,,,,,,22.0,,157,42.0,,,,131.0,,,,360,,,,202,1015,97,291,19,56,2004-01-31,81,380,31,39,210,3.0,2219,
1,,996,135.0,,2097,,,38.0,,,,,,,,,,,,,,17.0,,168,37.0,,,,119.0,,,,361,,,,200,990,86,278,20,52,2004-02-29,75,380,24,39,191,3.0,2135,
2,,1049,138.0,,2353,,,36.0,,,,,,,,,1.0,,,,,19.0,,213,41.0,,,,122.0,,,,464,,,,221,1153,91,328,20,56,2004-03-31,80,398,27,39,197,3.0,2389,
3,,1036,127.0,,2309,,,36.0,,,,,,,,,3.0,,,,,19.0,,213,39.0,,,,98.0,,,,464,,,,226,1203,88,307,20,54,2004-04-30,67,358,25,38,185,2.0,2345,
4,,1149,141.0,,2526,,,36.0,,,,,,,,,4.0,,,,,20.0,,210,38.0,,,,90.0,,,,523,,,,235,1359,100,314,17,55,2004-05-31,105,346,26,41,199,3.0,2562,
5,,1124,140.0,,2481,,,32.0,,,,,,,,,3.0,,,,,19.0,,220,59.0,,,,80.0,,,,492,,,,228,1330,93,309,18,53,2004-06-30,104,321,25,40,220,3.0,2513,
6,,1208,138.0,,2568,,,18.0,,,,,,,,,3.0,,,,,19.0,,245,59.0,,,,80.0,,,,495,,,,200,1335,84,365,15,56,2004-07-31,91,363,19,38,220,3.0,2586,
7,,1232,139.0,,2687,,,8.0,,,,,,,,,3.0,,,,,19.0,,298,58.0,,,,70.0,,,,543,,,,186,1388,86,434,15,56,2004-08-31,85,354,16,39,222,3.0,2695,
8,,1303,129.0,,2803,,,7.0,,,,,,,,,3.0,,,,,17.0,,327,55.0,,,,61.0,,,,572,,,,171,1485,83,484,14,54,2004-09-30,72,341,15,54,208,3.0,2810,
9,,1418,134.0,,2987,,,8.0,,,,,,,,,3.0,,,,,16.0,,334,54.0,,,,68.0,,,,608,,,,174,1602,82,516,15,55,2004-10-31,68,367,15,64,211,3.0,2995,
10,,1364,135.0,,2972,,,6.0,,,,,,,,,3.0,,,,,16.0,,365,57.0,,,,75.0,,,,619,,,,166,1569,84,527,22,54,2004-11-30,69,345,21,74,213,3.0,2978,
11,,1529,123.0,,3220,,,5.0,,,,,,,,,3.0,,,,,18.0,,399,61.0,,,,70.0,,,,646,,,,191,1679,108,569,20,55,2004-12-31,87,398,27,80,202,3.0,3225,
12,,1648,130.0,,3375,,,8.0,,,,,,,,,3.0,,,,,17.0,,424,61.0,,,,60.0,,,,649,,,,205,1715,111,615,19,70,2005-01-31,91,441,28,83,210,3.0,3383,
13,,1590,104.0,,3160,,,7.0,,,,,,,,,6.0,,,,,15.0,,387,52.0,,,,61.0,,,,570,,,,184,1583,97,583,14,85,2005-02-28,84,450,24,74,173,2.0,3167,
