,ALTO,APEX,APEX-SBE,APEX_D,ARVOR,ARVOR_D,HM2000,NAVIS,NAVIS_A,NAVIS_EBR,NEMO,NEMO Profiling Float,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,date,n/a,nProf
0,,1056,146.0,,,,,,,,,,,,,,,22.0,,157,42.0,,,,131.0,,,,360,,,,202,2004-01-31,3.0,2219
1,,996,135.0,,,,,,,,,,,,,,,17.0,,168,37.0,,,,119.0,,,,361,,,,200,2004-02-29,3.0,2135
2,,1049,138.0,,,,,,,,,,1.0,,,,,19.0,,213,41.0,,,,122.0,,,,464,,,,221,2004-03-31,3.0,2389
3,,1036,127.0,,,,,,,,,,3.0,,,,,19.0,,213,39.0,,,,98.0,,,,464,,,,226,2004-04-30,2.0,2345
4,,1149,141.0,,,,,,,,,,4.0,,,,,20.0,,210,38.0,,,,90.0,,,,523,,,,235,2004-05-31,3.0,2562
5,,1124,140.0,,,,,,,,,,3.0,,,,,19.0,,220,59.0,,,,80.0,,,,492,,,,228,2004-06-30,3.0,2513
6,,1208,138.0,,,,,,,,,,3.0,,,,,19.0,,245,59.0,,,,80.0,,,,495,,,,200,2004-07-31,3.0,2586
7,,1232,139.0,,,,,,,,,,3.0,,,,,19.0,,298,58.0,,,,70.0,,,,543,,,,186,2004-08-31,3.0,2695
8,,1303,129.0,,,,,,,,,,3.0,,,,,17.0,,327,55.0,,,,61.0,,,,572,,,,171,2004-09-30,3.0,2810
9,,1418,134.0,,,,,,,,,,3.0,,,,,16.0,,334,54.0,,,,68.0,,,,608,,,,174,2004-10-31,3.0,2995
10,,1364,135.0,,,,,,,,,,3.0,,,,,16.0,,365,57.0,,,,75.0,,,,619,,,,166,2004-11-30,3.0,2978
11,,1529,123.0,,,,,,,,,,3.0,,,,,18.0,,399,61.0,,,,70.0,,,,646,,,,191,2004-12-31,3.0,3225
12,,1648,130.0,,,,,,,,,,3.0,,,,,17.0,,424,61.0,,,,60.0,,,,649,,,,205,2005-01-31,3.0,3383
13,,1590,104.0,,,,,,,,,,6.0,,,,,15.0,,387,52.0,,,,61.0,,,,570,,,,184,2005-02-28,2.0,3167
14,,1845,114.0,,,,,,,,8.0,,6.0,,,,,15.0,,417,58.0,,,,62.0,,,,624,,,,206,2005-03-31,3.0,3593
15,,1850,103.0,,,,,,,,12.0,,6.0,,,,,16.0,,406,56.0,,,,50.0,,,,640,,,,222,2005-04-30,3.0,3593
16,,1999,91.0,,,,,,,,12.0,,6.0,,,,,15.0,,457,50.0,,,,46.0,,,,759,,,,221,2005-05-31,,3917
17,,2115,89.0,,,,,,,,11.0,,6.0,,,,,12.0,,465,52.0,,,,43.0,,,,806,,,,203,2005-06-30,,4061
18,,2235,93.0,,,,,,,,12.0,,6.0,,,,,11.0,,509,50.0,,,,50.0,,,,835,,,,199,2005-07-31,,4252
19,,2279,98.0,,,,,,,,11.0,,6.0,,,,,11.0,,480,48.0,,,,45.0,,,,826,,,,202,2005-08-31,,4254
20,,2258,92.0,,,,,,,,11.0,,6.0,,,,,8.0,,477,43.0,,,,52.0,,,,803,,,,201,2005-09-30,,4180
21,,2539,98.0,,,,,,,,11.0,,6.0,,,,,8.0,,485,42.0,,,,46.0,,,,890,,,,217,2005-10-31,,4604
22,,2613,89.0,,,,,,,,10.0,,6.0,,,,,12.0,,525,39.0,,,,50.0,,,,917,,,,211,2005-11-30,,4717
23,,2811,92.0,,,,,,,,8.0,,7.0,,,,,12.0,,557,37.0,,,,42.0,,,,990,,,,233,2005-12-31,,5059
24,,2956,91.0,,,,,,,,3.0,,7.0,,,,,9.0,,551,36.0,,,,46.0,,,,1012,,,,240,2006-01-31,,5219
25,,2886,79.0,,,,,,,,3.0,,4.0,,,,,10.0,,507,31.0,,,,38.0,,,,973,,,,238,2006-02-28,,5021
26,,3137,97.0,,,,,,,,4.0,,8.0,,,,,10.0,,570,33.0,,,,39.0,,,,1079,,,,284,2006-03-31,,5592
27,,2988,109.0,,,,,,,,8.0,,9.0,,,,,10.0,5.0,558,31.0,,,,43.0,,,,1043,,,,268,2006-04-30,,5460
28,,3084,116.0,,,,,,,,13.0,,10.0,,,,,8.0,10.0,570,30.0,,,,41.0,,,,1048,,,,290,2006-05-31,,5629
29,,3203,113.0,,,,,,,,17.0,,8.0,,,,,8.0,9.0,610,21.0,,,,44.0,,,,1009,,,,275,2006-06-30,,5551
30,,3330,114.0,,,,,,,,20.0,,7.0,,,,,8.0,11.0,612,22.0,,,,39.0,,,,1034,,,,302,2006-07-31,,5734
31,,3366,129.0,,,,,,,,19.0,,6.0,,,,,8.0,12.0,595,22.0,,,,38.0,,,,1028,,,,332,2006-08-31,,5790
32,,3428,126.0,,,,,,,,20.0,,6.0,,,,,8.0,9.0,576,22.0,,,,30.0,,,,1075,,,,344,2006-09-30,,5860
33,,3821,134.0,,,,,,,,18.0,,6.0,,,,,8.0,11.0,606,22.0,,,,35.0,,,,1163,,,,389,2006-10-31,,6437
34,,3993,132.0,,,,,,,,15.0,,6.0,,,,,7.0,9.0,596,21.0,,,,33.0,,,,1168,,,,394,2006-11-30,,6599
35,,4126,133.0,,10.0,,,,,,11.0,,6.0,,,,,8.0,9.0,597,22.0,,,,45.0,,,,1195,,,,474,2006-12-31,,6885
36,,4175,125.0,,15.0,,,,,,10.0,,6.0,,,,,7.0,2.0,599,21.0,,,,37.0,,,,1222,,,,511,2007-01-31,,6992
37,,3857,117.0,,14.0,,,,,,5.0,,6.0,,,,,5.0,,514,20.0,,,,33.0,,,,1097,,,,455,2007-02-28,,6361
38,,4294,133.0,,15.0,,,,,,6.0,,9.0,,,,,5.0,,563,22.0,,,,44.0,,,,1218,,,,495,2007-03-31,,7083
39,,4065,127.0,,15.0,,,,,,11.0,,9.0,,,,,6.0,,538,21.0,,,,34.0,,,,1154,,,,502,2007-04-30,,6731
40,,4205,135.0,,15.0,,,,,,6.0,,9.0,,,,,5.0,,544,21.0,,,,40.0,,,,1227,,,,544,2007-05-31,,7011
41,,4051,141.0,,15.0,,,,,,6.0,,9.0,,,,,4.0,,503,21.0,,,,28.0,,,,1163,,,,538,2007-06-30,,6725
42,,4266,143.0,,16.0,,,,,,6.0,,9.0,,,,,4.0,,508,23.0,,,,37.0,,,,1296,,,,575,2007-07-31,,7146
43,,4281,141.0,,15.0,,,,,,6.0,,8.0,,,,,4.0,,473,21.0,,,,32.0,,,,1309,,,,580,2007-08-31,,7145
44,,4300,122.0,,15.0,,,,,,6.0,,6.0,,,,,2.0,,433,21.0,,,,36.0,,,,1277,,,,548,2007-09-30,,7023
45,,4603,147.0,,16.0,,,,,,7.0,,6.0,,,,,,,425,23.0,,,,28.0,,,,1333,1.0,,,626,2007-10-31,,7500
46,,4532,155.0,,15.0,,,,,,6.0,,6.0,,,,,,,397,21.0,,,,23.0,,,,1330,,,,637,2007-11-30,,7403
47,,4720,159.0,,10.0,,,,,,7.0,,7.0,,,,,,,379,20.0,,,,26.0,,,,1386,,,,658,2007-12-31,,7672
48,,4800,148.0,,,,,,,,6.0,,6.0,,,,,,,396,11.0,,,,22.0,,,,1379,,,,674,2008-01-31,,7751
49,,4685,122.0,,,,,,,,6.0,,6.0,,,,,,,377,9.0,7.0,,,25.0,,,,1322,,,,627,2008-02-29,,7496
50,,5046,139.0,,,,,,,,4.0,,6.0,,,,,,,417,9.0,13.0,,,16.0,,,,1407,,,,675,2008-03-31,,8071
51,,4922,133.0,,,,,,,,6.0,,7.0,,,,,,,406,7.0,13.0,,,18.0,,,,1385,,,,676,2008-04-30,,7922
52,,5037,136.0,,,,,,,,6.0,,25.0,,,,,,,407,6.0,25.0,,,12.0,,,,1429,,,,724,2008-05-31,,8166
53,,5134,129.0,,,,,,,,4.0,,22.0,,,,,,,423,5.0,21.0,,,17.0,,,,1338,,,,691,2008-06-30,,8130
54,,5142,134.0,,,,,,,,3.0,,22.0,,,,,,,412,3.0,19.0,,,12.0,,,,1374,,,,714,2008-07-31,,8181
55,,5171,123.0,,,,,,,,3.0,,21.0,,,,,,,380,3.0,30.0,,,18.0,,,,1327,,,,702,2008-08-31,,8124
56,,4958,147.0,,,,,,,,3.0,,17.0,,,,,,1.0,341,3.0,24.0,,,12.0,,,,1348,,,,686,2008-09-30,,7885
57,,5203,171.0,,,,,,,,3.0,,17.0,,,,,,51.0,347,3.0,25.0,,,15.0,,,,1440,,,,716,2008-10-31,,8327
58,,5574,143.0,,,,,,,,1.0,,18.0,,,,,,56.0,328,3.0,24.0,,,16.0,,,,1405,,,,721,2008-11-30,,8620
59,,6231,169.0,,,,,,,,1.0,,18.0,,,,,,45.0,327,3.0,39.0,,,14.0,,,,1466,,,,787,2008-12-31,,9439
60,,5853,171.0,,,,,,,,2.0,,19.0,,,,,,46.0,316,1.0,31.0,,,17.0,,,,1421,,,,758,2009-01-31,,8989
61,,5138,153.0,,2.0,,,,,,,,15.0,,,,,,27.0,280,,26.0,,,12.0,,,,1293,,,,703,2009-02-28,,7985
62,,5656,168.0,,,,,,,,,,17.0,,,,,,14.0,296,,27.0,,,15.0,,,,1473,,,,770,2009-03-31,,8798
63,,5530,166.0,,,,,,,,,,16.0,,,,,,26.0,273,,22.0,,,9.0,,,,1413,,,,753,2009-04-30,,8548
64,,5794,168.0,,1.0,,,,,,3.0,,18.0,,,,,,30.0,274,,25.0,,,14.0,,,,1426,,,,772,2009-05-31,,8852
65,,5673,175.0,,,,,,,,2.0,,18.0,,,,,,30.0,265,,16.0,,,9.0,,,,1343,,,,782,2009-06-30,,8603
66,,5950,185.0,,,,,,,,,,17.0,,,,,,31.0,263,,21.0,,,11.0,,,,1369,,,,813,2009-07-31,,8977
67,,5437,178.0,,,,,,,,,,12.0,,,,,,29.0,268,,17.0,,,14.0,,,,1338,,,,802,2009-08-31,,8419
68,,5221,185.0,,,,,,,,,,12.0,,,,,,30.0,244,,19.0,,,11.0,,,,1272,,,,763,2009-09-30,,8058
69,,5365,205.0,,,,,,,,,,12.0,,,,,,10.0,244,,18.0,,,13.0,,,,1286,,,,761,2009-10-31,,8244
70,,5417,198.0,,,,,,,,,,12.0,,,,,,,237,,15.0,,,10.0,,,,1212,,,,719,2009-11-30,,8133
71,,5478,203.0,,,,,,,,2.0,,12.0,,,,,,,292,,16.0,,,13.0,,,,1263,,,,761,2009-12-31,,8367
72,,5468,188.0,,,,,,,,,,13.0,,,,,,,281,,15.0,,,8.0,,,,1315,,,,753,2010-01-31,,8375
73,,5000,173.0,,1.0,,,,,,,,8.0,,,,,,,240,,14.0,,,14.0,,,,1215,,,22.0,700,2010-02-28,,7695
74,,5493,200.0,,10.0,,,,,,,,1.0,,,,,,,274,,12.0,,,7.0,,,,1337,1.0,,33.0,780,2010-03-31,,8504
75,,5301,189.0,,6.0,,,,,,,,,,,,,,14.0,274,,5.0,,,8.0,,,,1252,3.0,,32.0,754,2010-04-30,,8169
76,,5627,198.0,,6.0,,,,,,147.0,,,,,,,,30.0,330,,7.0,,,12.0,,,,1221,3.0,,47.0,793,2010-05-31,,8772
77,,5357,199.0,,6.0,,,,,,184.0,,,,,,,,28.0,360,,6.0,,,10.0,,,,1135,3.0,,50.0,776,2010-06-30,,8420
78,,5562,207.0,,7.0,,,,,,170.0,,,,,,,,31.0,373,,6.0,,,12.0,,,,1131,3.0,,52.0,798,2010-07-31,,8670
79,,5448,215.0,,7.0,,,,,,169.0,1.0,,,,,,,23.0,363,,7.0,,,8.0,,,,1108,3.0,,53.0,803,2010-08-31,,8501
80,,5268,205.0,,6.0,,,,,,162.0,,,,,,,,,344,,6.0,,,13.0,,,,1049,3.0,,39.0,792,2010-09-30,,8217
81,,5435,209.0,,18.0,,,,,,167.0,,,,,,,,,384,,6.0,,,8.0,,,,1056,3.0,,14.0,842,2010-10-31,,8473
82,,5379,196.0,,36.0,,,,,,163.0,,,,,,,,,358,,6.0,,,12.0,,,,1050,3.0,,49.0,822,2010-11-30,,8435
83,,5669,211.0,,79.0,,,,,,167.0,,,,,,,,,366,,6.0,,,5.0,,,,1153,3.0,,62.0,880,2010-12-31,,8988
84,,5688,214.0,,111.0,,,,,,91.0,,,,,,,,,366,,3.0,,,10.0,,,,1131,3.0,,3.0,864,2011-01-31,,8875
85,,5167,179.0,,116.0,,,,,,12.0,,,,,,,,,327,,3.0,,,5.0,,,,1015,3.0,,,770,2011-02-28,,7962
